id,label
31963,1
31964,1
31965,1
31966,1
31967,1
31968,1
31969,1
31970,1
31971,1
31972,1
31973,1
31974,1
31975,1
31976,1
31977,1
31978,1
31979,1
31980,1
31981,1
31982,1
31983,0
31984,0
31985,1
31986,1
31987,1
31988,1
31989,1
31990,0
31991,1
31992,1
31993,1
31994,0
31995,1
31996,1
31997,1
31998,1
31999,1
32000,0
32001,1
32002,1
32003,0
32004,1
32005,1
32006,1
32007,1
32008,1
32009,1
32010,1
32011,1
32012,1
32013,1
32014,1
32015,1
32016,1
32017,1
32018,1
32019,1
32020,1
32021,1
32022,1
32023,1
32024,1
32025,1
32026,0
32027,0
32028,0
32029,1
32030,1
32031,1
32032,1
32033,1
32034,1
32035,1
32036,1
32037,0
32038,1
32039,1
32040,0
32041,0
32042,1
32043,0
32044,0
32045,1
32046,1
32047,0
32048,1
32049,1
32050,1
32051,1
32052,1
32053,1
32054,1
32055,1
32056,1
32057,1
32058,1
32059,0
32060,1
32061,1
32062,1
32063,1
32064,1
32065,1
32066,1
32067,1
32068,1
32069,1
32070,1
32071,0
32072,1
32073,1
32074,1
32075,1
32076,1
32077,1
32078,0
32079,1
32080,1
32081,1
32082,1
32083,1
32084,0
32085,1
32086,1
32087,1
32088,1
32089,1
32090,1
32091,1
32092,1
32093,0
32094,1
32095,1
32096,1
32097,1
32098,1
32099,1
32100,1
32101,1
32102,1
32103,0
32104,1
32105,1
32106,1
32107,1
32108,0
32109,1
32110,1
32111,1
32112,1
32113,1
32114,1
32115,0
32116,1
32117,1
32118,1
32119,0
32120,1
32121,1
32122,1
32123,1
32124,0
32125,1
32126,1
32127,1
32128,1
32129,1
32130,1
32131,1
32132,1
32133,1
32134,1
32135,1
32136,1
32137,1
32138,1
32139,1
32140,1
32141,1
32142,1
32143,1
32144,1
32145,1
32146,1
32147,1
32148,1
32149,1
32150,1
32151,1
32152,0
32153,1
32154,1
32155,1
32156,1
32157,1
32158,1
32159,1
32160,1
32161,1
32162,1
32163,1
32164,1
32165,1
32166,1
32167,1
32168,1
32169,1
32170,0
32171,0
32172,1
32173,0
32174,0
32175,1
32176,1
32177,1
32178,1
32179,0
32180,1
32181,1
32182,1
32183,1
32184,1
32185,1
32186,1
32187,1
32188,1
32189,1
32190,1
32191,0
32192,1
32193,1
32194,1
32195,1
32196,1
32197,1
32198,1
32199,1
32200,0
32201,1
32202,1
32203,1
32204,1
32205,1
32206,1
32207,1
32208,1
32209,1
32210,1
32211,1
32212,1
32213,1
32214,1
32215,1
32216,1
32217,1
32218,1
32219,0
32220,1
32221,1
32222,1
32223,1
32224,1
32225,1
32226,1
32227,1
32228,1
32229,1
32230,1
32231,1
32232,1
32233,1
32234,1
32235,0
32236,1
32237,1
32238,0
32239,1
32240,1
32241,1
32242,1
32243,1
32244,1
32245,0
32246,1
32247,1
32248,1
32249,1
32250,1
32251,0
32252,1
32253,1
32254,1
32255,1
32256,1
32257,1
32258,1
32259,1
32260,1
32261,1
32262,0
32263,0
32264,1
32265,1
32266,0
32267,1
32268,1
32269,1
32270,0
32271,0
32272,1
32273,1
32274,1
32275,1
32276,1
32277,1
32278,1
32279,1
32280,1
32281,1
32282,1
32283,0
32284,1
32285,1
32286,1
32287,1
32288,1
32289,1
32290,1
32291,1
32292,1
32293,1
32294,1
32295,1
32296,1
32297,1
32298,1
32299,1
32300,1
32301,1
32302,0
32303,0
32304,0
32305,1
32306,1
32307,1
32308,1
32309,1
32310,1
32311,1
32312,1
32313,0
32314,0
32315,1
32316,1
32317,1
32318,0
32319,1
32320,1
32321,1
32322,1
32323,0
32324,1
32325,1
32326,1
32327,1
32328,1
32329,1
32330,0
32331,1
32332,1
32333,1
32334,1
32335,1
32336,1
32337,1
32338,0
32339,1
32340,1
32341,0
32342,1
32343,1
32344,1
32345,1
32346,1
32347,1
32348,1
32349,1
32350,1
32351,1
32352,1
32353,1
32354,1
32355,1
32356,1
32357,1
32358,1
32359,0
32360,1
32361,0
32362,1
32363,1
32364,0
32365,1
32366,1
32367,1
32368,1
32369,1
32370,1
32371,1
32372,1
32373,1
32374,1
32375,1
32376,1
32377,1
32378,1
32379,1
32380,1
32381,1
32382,1
32383,1
32384,1
32385,1
32386,1
32387,1
32388,0
32389,0
32390,1
32391,1
32392,1
32393,0
32394,1
32395,1
32396,0
32397,1
32398,1
32399,1
32400,1
32401,1
32402,1
32403,1
32404,1
32405,1
32406,1
32407,0
32408,1
32409,1
32410,1
32411,1
32412,0
32413,1
32414,1
32415,0
32416,1
32417,1
32418,1
32419,1
32420,1
32421,1
32422,0
32423,0
32424,0
32425,1
32426,1
32427,1
32428,1
32429,1
32430,0
32431,1
32432,1
32433,1
32434,1
32435,1
32436,1
32437,1
32438,1
32439,1
32440,0
32441,0
32442,1
32443,1
32444,1
32445,1
32446,1
32447,0
32448,1
32449,1
32450,1
32451,1
32452,1
32453,1
32454,1
32455,1
32456,0
32457,1
32458,1
32459,1
32460,1
32461,1
32462,1
32463,1
32464,1
32465,1
32466,1
32467,1
32468,1
32469,0
32470,0
32471,0
32472,0
32473,1
32474,1
32475,1
32476,0
32477,1
32478,1
32479,0
32480,1
32481,1
32482,1
32483,1
32484,1
32485,1
32486,1
32487,1
32488,1
32489,1
32490,1
32491,1
32492,0
32493,1
32494,1
32495,1
32496,1
32497,1
32498,1
32499,1
32500,1
32501,1
32502,1
32503,0
32504,1
32505,0
32506,0
32507,1
32508,1
32509,0
32510,1
32511,1
32512,1
32513,1
32514,0
32515,1
32516,1
32517,0
32518,1
32519,1
32520,0
32521,0
32522,1
32523,1
32524,1
32525,1
32526,1
32527,1
32528,1
32529,0
32530,1
32531,1
32532,1
32533,1
32534,1
32535,1
32536,1
32537,1
32538,1
32539,0
32540,1
32541,1
32542,1
32543,1
32544,1
32545,1
32546,1
32547,1
32548,1
32549,0
32550,1
32551,1
32552,1
32553,1
32554,1
32555,1
32556,1
32557,1
32558,1
32559,1
32560,1
32561,0
32562,1
32563,1
32564,1
32565,1
32566,1
32567,1
32568,1
32569,1
32570,0
32571,1
32572,1
32573,1
32574,1
32575,1
32576,1
32577,1
32578,1
32579,1
32580,1
32581,1
32582,1
32583,1
32584,0
32585,1
32586,1
32587,1
32588,1
32589,1
32590,1
32591,1
32592,0
32593,1
32594,1
32595,1
32596,1
32597,1
32598,1
32599,1
32600,0
32601,0
32602,1
32603,1
32604,1
32605,1
32606,1
32607,1
32608,1
32609,1
32610,1
32611,1
32612,1
32613,1
32614,1
32615,1
32616,1
32617,1
32618,1
32619,1
32620,1
32621,1
32622,1
32623,0
32624,1
32625,1
32626,1
32627,0
32628,1
32629,1
32630,1
32631,0
32632,1
32633,1
32634,1
32635,1
32636,0
32637,1
32638,1
32639,0
32640,1
32641,0
32642,1
32643,0
32644,1
32645,1
32646,1
32647,1
32648,1
32649,1
32650,1
32651,0
32652,1
32653,0
32654,0
32655,1
32656,1
32657,0
32658,0
32659,0
32660,1
32661,1
32662,1
32663,1
32664,1
32665,1
32666,1
32667,1
32668,1
32669,1
32670,1
32671,1
32672,1
32673,1
32674,0
32675,1
32676,1
32677,1
32678,1
32679,1
32680,1
32681,1
32682,1
32683,1
32684,1
32685,1
32686,1
32687,0
32688,1
32689,0
32690,1
32691,1
32692,1
32693,1
32694,1
32695,1
32696,1
32697,1
32698,1
32699,1
32700,1
32701,1
32702,1
32703,1
32704,1
32705,1
32706,1
32707,1
32708,1
32709,1
32710,1
32711,0
32712,0
32713,1
32714,1
32715,1
32716,1
32717,1
32718,1
32719,1
32720,1
32721,1
32722,1
32723,1
32724,1
32725,1
32726,0
32727,1
32728,1
32729,1
32730,1
32731,0
32732,1
32733,1
32734,0
32735,1
32736,0
32737,1
32738,1
32739,1
32740,1
32741,0
32742,1
32743,1
32744,1
32745,1
32746,0
32747,1
32748,1
32749,0
32750,0
32751,1
32752,1
32753,1
32754,1
32755,1
32756,1
32757,1
32758,1
32759,1
32760,1
32761,1
32762,1
32763,0
32764,1
32765,1
32766,1
32767,1
32768,1
32769,1
32770,1
32771,1
32772,1
32773,1
32774,1
32775,0
32776,1
32777,1
32778,1
32779,1
32780,0
32781,1
32782,1
32783,1
32784,1
32785,1
32786,1
32787,1
32788,1
32789,1
32790,1
32791,0
32792,1
32793,1
32794,1
32795,1
32796,0
32797,1
32798,1
32799,1
32800,1
32801,1
32802,1
32803,1
32804,1
32805,1
32806,0
32807,0
32808,1
32809,1
32810,1
32811,1
32812,1
32813,1
32814,1
32815,1
32816,1
32817,1
32818,1
32819,1
32820,1
32821,0
32822,1
32823,0
32824,1
32825,1
32826,1
32827,1
32828,1
32829,0
32830,1
32831,1
32832,1
32833,1
32834,1
32835,0
32836,1
32837,1
32838,1
32839,1
32840,1
32841,1
32842,1
32843,1
32844,1
32845,1
32846,1
32847,1
32848,1
32849,0
32850,1
32851,1
32852,1
32853,1
32854,1
32855,1
32856,1
32857,1
32858,1
32859,1
32860,1
32861,1
32862,1
32863,1
32864,1
32865,1
32866,1
32867,1
32868,1
32869,0
32870,1
32871,1
32872,1
32873,1
32874,1
32875,1
32876,0
32877,0
32878,1
32879,1
32880,1
32881,1
32882,1
32883,1
32884,1
32885,1
32886,1
32887,0
32888,1
32889,1
32890,1
32891,1
32892,1
32893,0
32894,1
32895,1
32896,1
32897,1
32898,1
32899,1
32900,1
32901,1
32902,0
32903,1
32904,1
32905,0
32906,1
32907,1
32908,1
32909,1
32910,1
32911,0
32912,1
32913,1
32914,1
32915,1
32916,0
32917,1
32918,1
32919,1
32920,0
32921,1
32922,1
32923,1
32924,1
32925,1
32926,1
32927,0
32928,1
32929,1
32930,1
32931,1
32932,1
32933,1
32934,1
32935,1
32936,0
32937,0
32938,1
32939,1
32940,1
32941,0
32942,0
32943,0
32944,1
32945,0
32946,1
32947,1
32948,1
32949,1
32950,1
32951,1
32952,1
32953,1
32954,1
32955,1
32956,1
32957,0
32958,1
32959,1
32960,1
32961,1
32962,1
32963,1
32964,1
32965,1
32966,1
32967,1
32968,1
32969,1
32970,1
32971,1
32972,1
32973,1
32974,1
32975,1
32976,1
32977,1
32978,1
32979,1
32980,1
32981,1
32982,1
32983,1
32984,1
32985,1
32986,1
32987,1
32988,1
32989,1
32990,1
32991,1
32992,1
32993,1
32994,1
32995,1
32996,1
32997,1
32998,1
32999,1
33000,1
33001,0
33002,1
33003,1
33004,1
33005,1
33006,1
33007,1
33008,1
33009,0
33010,1
33011,0
33012,1
33013,1
33014,0
33015,0
33016,1
33017,1
33018,1
33019,1
33020,1
33021,1
33022,1
33023,0
33024,1
33025,1
33026,1
33027,0
33028,1
33029,1
33030,1
33031,1
33032,1
33033,1
33034,1
33035,1
33036,1
33037,0
33038,1
33039,1
33040,0
33041,1
33042,1
33043,1
33044,1
33045,1
33046,1
33047,0
33048,1
33049,1
33050,0
33051,1
33052,1
33053,1
33054,0
33055,1
33056,1
33057,1
33058,1
33059,1
33060,0
33061,1
33062,1
33063,1
33064,1
33065,1
33066,1
33067,1
33068,1
33069,1
33070,1
33071,1
33072,0
33073,1
33074,0
33075,1
33076,1
33077,1
33078,1
33079,1
33080,1
33081,1
33082,1
33083,1
33084,1
33085,1
33086,1
33087,1
33088,1
33089,1
33090,1
33091,1
33092,1
33093,1
33094,0
33095,1
33096,1
33097,0
33098,0
33099,0
33100,1
33101,1
33102,1
33103,1
33104,0
33105,1
33106,1
33107,1
